index,epoch,gold_label,predicted_label
0,1,0,tensor(0)
1,1,0,tensor(1)
2,1,0,tensor(0)
3,1,0,tensor(0)
4,1,0,tensor(1)
5,1,0,tensor(4)
6,1,0,tensor(1)
7,1,0,tensor(4)
8,1,0,tensor(2)
9,1,0,tensor(1)
10,1,0,tensor(1)
11,1,0,tensor(2)
12,1,0,tensor(0)
13,1,0,tensor(1)
14,1,0,tensor(1)
15,1,0,tensor(2)
16,1,0,tensor(4)
17,1,0,tensor(2)
18,1,0,tensor(1)
19,1,0,tensor(1)
20,1,0,tensor(1)
21,1,0,tensor(1)
22,1,0,tensor(0)
23,1,0,tensor(0)
24,1,0,tensor(1)
25,1,0,tensor(1)
26,1,0,tensor(4)
27,1,0,tensor(2)
28,1,0,tensor(0)
29,1,0,tensor(1)
30,1,0,tensor(4)
31,1,0,tensor(1)
32,1,0,tensor(1)
33,1,0,tensor(1)
34,1,0,tensor(4)
35,1,0,tensor(1)
36,1,0,tensor(1)
37,1,0,tensor(4)
38,1,0,tensor(2)
39,1,0,tensor(1)
40,1,0,tensor(4)
41,1,0,tensor(1)
42,1,0,tensor(1)
43,1,0,tensor(4)
44,1,0,tensor(2)
45,1,0,tensor(1)
46,1,0,tensor(2)
47,1,0,tensor(1)
48,1,0,tensor(0)
49,1,0,tensor(4)
50,1,0,tensor(1)
51,1,0,tensor(1)
52,1,0,tensor(1)
53,1,0,tensor(2)
54,1,0,tensor(0)
55,1,0,tensor(1)
56,1,0,tensor(1)
57,1,0,tensor(4)
58,1,0,tensor(0)
59,1,0,tensor(1)
60,1,0,tensor(1)
61,1,0,tensor(1)
62,1,0,tensor(1)
63,1,0,tensor(2)
64,1,0,tensor(2)
65,1,0,tensor(1)
66,1,0,tensor(1)
67,1,0,tensor(4)
68,1,0,tensor(1)
69,1,0,tensor(1)
70,1,0,tensor(1)
71,1,0,tensor(2)
72,1,0,tensor(1)
73,1,0,tensor(1)
74,1,0,tensor(2)
75,1,0,tensor(4)
76,1,0,tensor(1)
77,1,0,tensor(0)
