index,epoch,gold_label,predicted_label
0,1,0,tensor(0)
1,1,0,tensor(1)
2,1,0,tensor(1)
3,1,0,tensor(1)
4,1,0,tensor(3)
5,1,0,tensor(0)
6,1,0,tensor(0)
7,1,0,tensor(1)
8,1,0,tensor(0)
9,1,0,tensor(0)
10,1,0,tensor(0)
11,1,0,tensor(0)
12,1,0,tensor(0)
13,1,0,tensor(0)
14,1,0,tensor(3)
15,1,0,tensor(0)
16,1,0,tensor(0)
17,1,0,tensor(3)
18,1,0,tensor(3)
19,1,0,tensor(0)
20,1,0,tensor(0)
21,1,0,tensor(0)
22,1,0,tensor(0)
23,1,0,tensor(0)
24,1,0,tensor(0)
25,1,0,tensor(3)
26,1,0,tensor(0)
27,1,0,tensor(1)
28,1,0,tensor(0)
29,1,0,tensor(0)
30,1,0,tensor(0)
31,1,0,tensor(2)
32,1,0,tensor(0)
33,1,0,tensor(0)
34,1,0,tensor(0)
35,1,0,tensor(3)
36,1,0,tensor(1)
37,1,0,tensor(0)
38,1,0,tensor(3)
39,1,0,tensor(1)
40,1,0,tensor(0)
41,1,0,tensor(0)
42,1,0,tensor(1)
43,1,0,tensor(0)
44,1,0,tensor(0)
45,1,0,tensor(0)
46,1,0,tensor(0)
47,1,0,tensor(0)
48,1,0,tensor(0)
49,1,0,tensor(0)
50,1,0,tensor(0)
51,1,0,tensor(0)
52,1,0,tensor(0)
53,1,0,tensor(0)
54,1,0,tensor(0)
55,1,0,tensor(0)
56,1,0,tensor(0)
57,1,0,tensor(0)
58,1,0,tensor(0)
59,1,0,tensor(1)
60,1,0,tensor(0)
61,1,0,tensor(0)
62,1,0,tensor(0)
63,1,0,tensor(0)
64,1,0,tensor(0)
65,1,0,tensor(0)
66,1,0,tensor(0)
67,1,0,tensor(0)
68,1,0,tensor(0)
69,1,0,tensor(0)
70,1,0,tensor(0)
71,1,0,tensor(0)
72,1,0,tensor(0)
73,1,0,tensor(0)
74,1,0,tensor(0)
75,1,0,tensor(0)
76,1,0,tensor(0)
77,1,0,tensor(0)
